directors,actors,runtime,production_company,audience_rating,G,NC17,NR,PG,PG-13,R,Action & Adventure,Animation,Anime & Manga,Art House & International,Classics,Comedy,Cult Movies,Documentary,Drama,Faith & Spirituality,Gay & Lesbian,Horror,Kids & Family,Musical & Performing Arts,Mystery & Suspense,Romance,Science Fiction & Fantasy,Special Interest,Sports & Fitness,Television,Western
Steven Soderbergh,"Channing Tatum, Adam Driver, Riley Keough, Seth MacFarlane, Katie Holmes",119.0,Fingerprint Releasing / Bleecker Street,76.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tim Kirkman,"Tess Harper, Bonnie Hunt, Michael Kelly, Michael Learned, Kip Pardue",93.0,Strand Releasing,65.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Joe Swanberg,"Kevin Bewersdorf, Joe Swanberg, C. Mason Wells, Tipper Newton, Brigid Reagan",81.0,Gravitas Ventures,33.0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Lisa Azuelos,"Miley Cyrus, Demi Moore, Ashley Greene, Douglas Booth, Adam G. Sevani",97.0,Lionsgate,51.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daryl Wein,"Greta Gerwig, Joel Kinnaman, Zoe Lister-Jones, Hamish Linklater, Bill Pullman",86.0,Fox Searchlight Pictures,31.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
William Monahan,"Keira Knightley, Colin Farrell, Ben Chaplin, Ray Winstone, Anna Friel",103.0,IFC Films,30.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Babak Najafi,"Gerard Butler, Aaron Eckhart, Morgan Freeman, Melissa Leo, Angela Bassett",99.0,Focus Features,51.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rachid Bouchareb,"Brenda Blethyn, Francis Magee, Roschdy Zem, Sami Bouajila, Bernard Blancan",87.0,Cinema Libre,67.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Peter Berg,"Ben Foster, Mark Wahlberg, Emile Hirsch, Taylor Kitsch, Eric Bana",121.0,Universal Studios,87.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Todd Robinson,"John Travolta, James Gandolfini, Jared Leto, Salma Hayek, Scott Caan",107.0,Samuel Goldwyn/Roadside,49.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Steve Buscemi,"Casey Affleck, Liv Tyler, Mary Kay Place, Seymour Cassel, Kevin Corrigan",91.0,IFC Films,57.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Jonathan Levine,"Charlize Theron, Seth Rogen, O'Shea Jackson, Jr., Andy Serkis",123.0,Summit Entertainment,74.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rémi Chayé,"Christa Theret, Feodor Atkine, Thomas Sagols, Rémi Caillebot",81.0,,76.0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peter Segal,"Adam Sandler, Chris Rock, Burt Reynolds, James Cromwell, Walter Williamson",113.0,Paramount Pictures,62.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fred Durst,"Ice Cube, Keke Palmer, Tasha Smith, Jill Marie Jones, Dash Mihok",94.0,The Weinstein Company,61.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Albert Brooks,"Albert Brooks, John Carroll Lynch, Sheetal Sheth, Jon Tenney, Amy Ryan",99.0,Warner Bros.,27.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ken Loach,"Steve Evets, Eric Cantona, Stephanie Bishop, Gerard Kearns, Stephan Gumbs",116.0,IFC Films,78.0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Scott Frank,"Joseph Gordon-Levitt, Jeff Daniels, Matthew Goode, Carla Gugino, Isla Fisher",99.0,Miramax,74.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Joe Dante,"Daffy Duck, Brendan Fraser, Jenna Elfman, Steve Martin, Timothy Dalton",91.0,Warner Bros. Pictures,50.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Rian Johnson,"Bruce Willis, Joseph Gordon-Levitt, Emily Blunt, Paul Dano, Piper Perabo",119.0,Sony Pictures,82.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Andrew Niccol,"Nicolas Cage, Jared Leto, Ethan Hawke, Bridget Moynahan, Shake Toukhmanian",122.0,Lions Gate,84.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Catherine Hardwicke,"John Robinson (IX), Emile Hirsch, Rebecca De Mornay, William Mapother, Julio Oscar Mechoso",106.0,Sony Pictures Entertainment,81.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Cate Shortland,"Saskia Rosendahl, Kai Malina, Nele Trebs, Ursina Lardi, Hans-Jochen Wagner",109.0,Music Box Films,76.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Jean-Pierre Dardenne, Luc Dardenne","Arta Dobroshi, Jérémie Renier, Fabrizio Rongione, Alban Ukaj, Morgan Marinne",95.0,Sony Pictures Classics,69.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Thom Andersen,Encke King,169.0,Submarine Entertainment,85.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0
Jodie Markell,"Bryce Dallas Howard, Chris Evans, Ellen Burstyn, Mamie Gummer, Ann-Margret",102.0,Paladin,40.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Léa Pool,"Piper Perabo, Jessica Paré, Mischa Barton, Jackie Burroughs, Eleanor Bannet",102.0,Lions Gate Releasing,78.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"Megan Mylan, Jon Shenk",,90.0,Shadow Distribution,83.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
P.J. Pesce,"Tad Hilgenbrinck, Angus Sutherland, Autumn Reeser, Corey Feldman, Jamison Newlander",92.0,Weinstein Company,25.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Keith Fulton, Louis Pepe","Rene Cleitman, Terry Gilliam, Tony Grisoni, Phil Patterson, Nicola Pecorini",92.0,IFC Films,77.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
"Dominique Abel, Fiona Gordon (II)","Dominique Abel, Emmanuelle Riva, Fiona Gordon (II), Pierre Richard, Emmy Boissard Paumelle",85.0,Oscilloscope Laboratories,67.0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sofia Coppola,"Bill Murray, Scarlett Johansson, Giovanni Ribisi, Anna Faris, Akiko Takeshita",102.0,Focus Features,85.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Ryan Gosling,"Christina Hendricks, Saoirse Ronan, Iain De Caestecker, Matt Smith, Rob Zabrecky",105.0,Warner Bros. Pictures,38.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Larry Blamire,"Larry Blamire, Fay Masterson, Brian Howe, Susan McConnell, Andrew Parks",94.0,Fragmighty,85.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Nigel Cole,"Amanda Peet, Ashton Kutcher, Taryn Manning, Aimee Garcia, Tyrone Giordano",107.0,Touchstone Pictures,77.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"Greg Jacobs, Jon Siskel","Cristin O'Keefe Aptowicz, Hannah Bernard, Gabriella Bonamici, Rocco Bulmer, Kevin Coval",100.0,Balcony Releasing,81.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Joachim Trier,"Gabriel Byrne, Jesse Eisenberg, Devin Druid, Amy Ryan, Isabelle Huppert",109.0,Motlys AS,52.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Steven Cantor, Matthew Galkin","Pixies, Frank Black, Kim Deal, David Lovering, Joey Santiago",82.0,Roxie Releasing,77.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Edward Zwick,"Jake Gyllenhaal, Anne Hathaway, Oliver Platt, Hank Azaria, Ray Godshall Sr.",112.0,20th Century Fox,53.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Richard Curtis,"Bill Nighy, Hugh Grant, Liam Neeson, Emma Thompson, Colin Firth",135.0,Universal Pictures,72.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Gina Prince-Bythewood,"Sanaa Lathan, Omar Epps, Dennis Haysbert, Debbi Morgan, Alfre Woodard",124.0,New Line Cinema,95.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Whit Stillman,"Kate Beckinsale, Chloë Sevigny, Xavier Samuel, Morfydd Clark, Emma Greenwell",93.0,Roadside Attractions,60.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Danny Mooney,"Liam Hemsworth, Austin Stowell, Teresa Palmer, Aimee Teegarden, Chris Lowell",96.0,IFC Films,39.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Bill Pohlad,"Paul Dano, Elizabeth Banks, Brett Davern, Graham Rogers, John Cusack",120.0,Roadside Attractions,85.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Valerie Breiman,"Famke Janssen, Jon Favreau, Noah Emmerich, Cheri Oteri, Ann Magnuson",80.0,Lions Gate Releasing,76.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Alain Corneau,"Ludivine Sagnier, Kristin Scott Thomas, Patrick Mille, Guillaume Marquet, Gérald Laroche",106.0,IFC Films,47.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Troy Beyer,"Nick Cannon, Christina Milian, Steve Harvey, Kenan Thompson, Kal Penn",101.0,Warner Bros.,65.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Marco Schnabel,"Mike Myers, Jessica Alba, Justin Timberlake, Romany Malco, Verne Troyer",87.0,Paramount Pictures,33.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brandon Camp,"Jennifer Aniston, Aaron Eckhart, Dan Fogler, Judy Greer, Joe Anderson (VI)",109.0,Universal Pictures,37.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Mike Newell,"Javier Bardem, Giovanna Mezzogiorno, Benjamin Bratt, Catalina Sandino Moreno, John Leguizamo",138.0,New Line Cinema,45.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Susanne Bier,"Pierce Brosnan, Trine Dyrholm, Paprika Steen, Kim Bodnia, Molly Blixt Egelind",116.0,Sony Pictures Classics,59.0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0
Ira Sachs,"John Lithgow, Alfred Molina, Marisa Tomei, Cheyenne Jackson, Darren E. Burrows",94.0,Sony Pictures Classics,66.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Elliott Lester,"John Patrick Amedori, Lizzy Caplan, D.J. Cotrona, Jonathon Trent, Jenny Wade",96.0,E1 Entertainment,50.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Todd Louiso,"Philip Seymour Hoffman, Kathy Bates, J.D. Walsh, Jimmy Raskin, Erika Alexander",90.0,Sony Pictures Classics,77.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Yann Samuell,"Guillaume Canet, Marion Cotillard, Thibault Verhaeghe, Joséphine Lebas-Joly, Emmanuelle Gronvold",95.0,Paramount Classics,89.0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Robert Iscove,"Amy Smart, Billy Zane, Caroline Rhea, Nicola Royston, Tom Malloy (II)",95.0,Screen Media Films,42.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
Taylor Hackford,"Helen Mirren, Joe Pesci, Sergio Peris-Mencheta, Gina Gershon, Taryn Manning",118.0,MPI Media Group,28.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Christian Ditter,"Lily Collins, Sam Claflin, Christian Cooke, Jaime Winstone, Tamsin Egerton",102.0,Film Arcade,63.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Greg Berlanti,"Nick Robinson, Katherine Langford, Alexandra Shipp, Josh Duhamel, Logan Miller",110.0,20th Century Fox,88.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Christophe Honoré,"Louis Garrel, Ludivine Sagnier, Chiara Mastroianni, Grégoire Leprince-Ringuet, Brigitte Roüan",95.0,IFC First Take,78.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
Jessie Nelson,"Alan Arkin, John Goodman, Ed Helms, Diane Keaton, Jake Lacy",107.0,Groundswell,36.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peter Sehr,"Adrien Brody, Charlotte Ayanna, Jon Seda, August Diehl, Pam Grier",110.0,Kino International,66.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
Dermot Mulroney,"Mandy Moore, Kellan Lutz, James Brolin, Jane Seymour, Jessica Szohr",90.0,IFC Films,28.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Jeffrey Friedman, Rob Epstein, Robert Epstein","Amanda Seyfried, Peter Sarsgaard, Hank Azaria, Sharon Stone, Robert Patrick",93.0,Radius-TWC,36.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Andrey Zvyagintsev,"Maryana Spivak, Aleksey Rozin, Matvey Novikov, Marina Vasilyeva, Andris Keyshs",127.0,Sony Pictures Classics,84.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Eduardo Sánchez,"Gretchen Lodge, Johnny Lewis, Alexandra Holden, Field Blauvelt, Fred Blauvelt",100.0,Image Entertainment,32.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Nik Fackler,"Martin Landau, Ellen Burstyn, Elizabeth Banks, Adam Scott, Scott Beehner",90.0,Monterey Media,75.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Kevin Bacon,"Kyra Sedgwick, Dominic Scott Kay, Matt Dillon, Oliver Platt, Sandra Bullock",87.0,ThinkFilm,35.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Kenneth Branagh,"Kenneth Branagh, Alicia Silverstone, Alessandro Nivola, Natascha McElhone, Adrian Lester",93.0,Miramax Films,40.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
Jeff Nichols,"Joel Edgerton, Ruth Negga, Marton Csokas, Nick Kroll, Michael Shannon",123.0,Big Beach Films,76.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Dorota Kobiela, Hugh Welchman","Douglas Booth, Jerome Flynn, Robert Gulaczyk, Helen McCrory, Saoirse Ronan",95.0,Good Deed Entertainment,86.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Sérgio Machado,"Alice Braga, Lázaro Ramos, Wagner Moura, José Dumont, Divina Valeria",110.0,Palm Pictures,57.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Antonio Serrano,"Cecilia Roth, Carlos Álvarez-Novoa, Kuno Becker, Javier Díaz Dueñas, Margarita Isabel",102.0,Fox Searchlight Pictures,53.0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Zoya Akhtar,"Farhan Akhtar, Hrithik Roshan, Konkona Sen Sharma, Rishi Kapoor, Isha Sharvani",156.0,Adlabs Films,67.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Peter Cattaneo,"James Nesbitt, Olivia Williams, Lennie James, Timothy Spall, Bill Nighy",107.0,Paramount Pictures,48.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paul McGuigan,"Josh Hartnett, Morgan Freeman, Ben Kingsley, Lucy Liu, Stanley Tucci",110.0,Weinstein Company,87.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Nora Ephron,"John Travolta, Lisa Kudrow, Tim Roth, Ed O'Neill, Michael Rapaport",105.0,Paramount Pictures,19.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Megan Griffiths,"Toni Collette, Thomas Haden Church, Ryan Eggold, Oliver Platt, Ahna O'Reilly",96.0,IFC Films,58.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Curtis Hanson,"Eric Bana, Drew Barrymore, Robert Duvall, Debra Messing, Horatio Sanz",124.0,Warner Bros. Pictures,28.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Luc Besson,"Scarlett Johansson, Morgan Freeman, Amr Waked, Julian Rhind-Tutt, Pilou Asbæk",88.0,Universal Pictures,47.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raoul Peck,"Eric Ebouaney, Alex Descas, Theophile Sowie, Moussa Théophile Sowié, Maka Kotto",115.0,Zeitgeist,83.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Hayao Miyazaki,"Yasuo Yamada, Eiko Masuyama, Kiyoshi Kobayashi, Makio Inoue, Goro Naya",100.0,Toho Company,88.0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
Ang Lee,"Tony Leung Chiu Wai, Tang Wei, Joan Chen, Wang Lee Hom, Tsung-Hua To",155.0,Focus Features,84.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
Sheldon Candis,"Common, Michael Rainey Jr., Dennis Haysbert, Danny Glover, Charles S. Dutton",94.0,Indomina Media Inc.,61.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Derick Martini,"Alec Baldwin, Rory Culkin, Emma Roberts, Jill Hennessy, Timothy Hutton",95.0,Screen Media Films,52.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Tate Taylor,"Octavia Spencer, Juliette Lewis, Diana Silvers, McKaley Miller, Corey Fogelmanis",99.0,Universal Pictures,64.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Jorma Taccone,"Will Forte, Kristen Wiig, Ryan Phillippe, Powers Boothe, Maya Rudolph",90.0,Universal/Rogue Pictures,35.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ethan Maniquis, Robert Rodriguez","Danny Trejo, Robert De Niro, Jessica Alba, Cheech Marin, Michelle Rodriguez",104.0,20th Century Fox,63.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Robert Rodriguez,"Danny Trejo, Michelle Rodriguez, Mel Gibson, Lady Gaga, Jessica Alba",107.0,Open Road,35.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noboru Iguchi,"Minase Yashiro, Asami Sugiura, Asami, Yûya Ishikawa, Kentaro Shimazu",96.0,Media Blasters,62.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Marc Forster,"Gerard Butler, Michelle Monaghan, Kathy Baker, Michael Shannon, Ryann Campos",127.0,Relativity Media,62.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Brad Anderson,"Christian Bale, Jennifer Jason Leigh, Aitana Sánchez-Gijón, John Sharian, Michael Ironside",101.0,Paramount Classics,83.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"Ka-Fai Wai, Johnnie To","Ching Wan Lau, Andy On, Gordon Lam, Kelly Lin, Lee Kwok Lun",89.0,IFC First Take,85.0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Marilyn Agrelo,"Madeleine Hackney, Wilson Castillo, Rodney Lopez, Alyssa Polack, Victoria Malvagno",115.0,Paramount Classics,83.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0
"Vincente Aranda, Vicente Aranda","Pilar López de Ayala, Daniele Liotti, Manuela Arcuri, Eloy Azorin, Rosana Pastor",117.0,Sony Pictures Classics,65.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
George Miller,"Tom Hardy, Charlize Theron, Nicholas Hoult, Rosie Huntington-Whiteley, Zoë Kravitz",120.0,Warner Bros.,85.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Conrad Vernon, Eric Darnell, Tom McGrath","Ben Stiller, Chris Rock, David Schwimmer, Jada Pinkett Smith, Sacha Baron Cohen",85.0,Paramount/Dreamworks,72.0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Tom McGrath, Eric Darnell","Ben Stiller, Chris Rock, David Schwimmer, Jada Pinkett Smith, Sacha Baron Cohen",88.0,Paramount Studios,66.0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Sophie Barthes,"Mia Wasikowska, Ezra Miller, Rhys Ifans, Paul Giamatti, Laura Carmichael",118.0,Alchemy,26.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Karim Aïnouz,"Lázaro Ramos, Marcelia Cartaxo, Flavio Bauraqui, Felipe Marques, Felippe Marques",105.0,Wellspring,81.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Jon Favreau,"Jon Favreau, Vince Vaughn, Famke Janssen, Peter Falk, Faizon Love",94.0,Artisan Entertainment,67.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Nigel Cole,"Sally Hawkins, Bob Hoskins, Miranda Richardson, Geraldine James, Rupert Graves",113.0,Sony Pictures Classics,75.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Paul Weiland,"Patrick Dempsey, Michelle Monaghan, Kevin Mckidd, Kathleen Quinlan, Sydney Pollack",101.0,Sony Pictures/Columbia,55.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Tyler Perry,"Tyler Perry, Derek Luke, Keshia Knight Pulliam, Ion Overman, Sofía Vergara",103.0,Lionsgate,96.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Derrick Doose,"Tyler Perry, Palmer Williams Jr., Chandra Currelley-Young, Cassi Davis, Cheryl Pepsii Riley",106.0,Lionsgate,74.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Perry,"Tyler Perry, Lynn Whitfield, Blair Underwood, Boris Kodjoe, Maya Angelou",107.0,Lionsgate,94.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Perry,"Tyler Perry, Eugene Levy, Romeo Miller, Denise Richards, Doris Roberts",114.0,Lionsgate Films,66.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stéphane Brizé,"Vincent Lindon, Sandrine Kiberlain, Aure Atika, Jean-Marc Thibault, Arthur Le Houérou",101.0,Lorber Films,68.0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bong Joon Ho,"Hye-ja Kim, Jin Goo, Je-mun Yun, Jun Mi-sun, Song Sae-beauk",128.0,Magnolia Pictures,88.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
William Bindley,"Jim Caviezel, Bruce Dern, Mary McCormack, Jake Lloyd, Paul Dooley",99.0,MGM,50.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
